StateName,StateCode,DistrictName,DistrictCode,SubDistrictName,SubDistrictCode,Constituency,VillageName,VillageCode,Year,Month,Count,Min,Max,Mean,Median
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Rimbick ,00000200,2008,10,18,-2.5393,3.2308,0.5451,0.2835
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Rimbick ,00000200,2008,11,28,-5.0206,3.5979,-0.0555,0.3185
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Rimbick ,00000200,2008,12,19,-7.5978,10.1778,1.0380,0.8788
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Rimbick ,00000200,2009,1,28,-5.7790,5.4694,0.5049,0.2474
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Rimbick ,00000200,2009,2,20,-8.4881,7.6452,-0.3108,-0.4681
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Rimbick ,00000200,2009,3,2,-1.0577,3.3864,1.1643,1.1643
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Rimbick ,00000200,2009,9,4,-2.3846,-0.4783,-1.2719,-1.1125
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Rimbick ,00000200,2009,10,15,-4.2533,2.1857,-0.3894,0.1644
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Rimbick ,00000200,2009,11,21,-4.5070,5.0149,0.7839,1.0556
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Rimbick ,00000200,2009,12,18,-3.8267,7.1429,1.0960,0.6103
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Rimbick ,00000200,2010,1,31,-8.5333,9.0109,-0.3746,-0.8889
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Rimbick ,00000200,2010,2,22,-5.5294,9.2299,1.0268,0.3201
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Rimbick ,00000200,2010,3,16,-5.0968,16.4808,1.7309,1.1354
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Rimbick ,00000200,2010,4,9,-4.0370,9.4286,1.5410,-0.1176
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Rimbick ,00000200,2010,8,1,-0.4000,-0.4000,-0.4000,-0.4000
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Rimbick ,00000200,2010,9,12,-1.8675,6.0602,1.9135,2.1642
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Rimbick ,00000200,2010,10,20,-9.0854,6.3095,0.0861,0.0054
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Rimbick ,00000200,2010,11,28,-3.5357,8.6264,2.3669,1.9828
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Rimbick ,00000200,2010,12,27,-5.5400,8.1354,1.5225,1.8737
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Rimbick ,00000200,2011,1,30,-4.2680,18.1868,2.0641,1.5338
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Rimbick ,00000200,2011,2,24,-5.3478,9.0349,2.2245,2.2731
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Rimbick ,00000200,2011,3,22,-6.8202,6.9600,-0.0508,-0.2750
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Rimbick ,00000200,2011,4,15,-1.5645,4.1765,1.0585,0.9796
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Rimbick ,00000200,2011,8,3,0.3333,1.8333,0.9949,0.8182
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Rimbick ,00000200,2011,9,16,-3.9535,8.7000,1.8765,1.0382
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Rimbick ,00000200,2011,10,25,-5.8116,3.5591,-0.4542,-0.9326
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Rimbick ,00000200,2011,11,22,-2.8125,7.5816,0.5766,0.5258
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Rimbick ,00000200,2011,12,29,-3.3000,4.4359,0.6235,0.9278
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Rimbick ,00000200,2012,1,30,-2.1900,6.5773,0.7408,0.1496
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Rimbick ,00000200,2012,2,25,-6.5667,7.2152,-1.1538,-0.9184
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Rimbick ,00000200,2012,3,19,-2.3038,9.3973,0.9973,0.1222
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Rimbick ,00000200,2012,4,16,-2.5283,8.3774,1.6461,1.7112
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Rimbick ,00000200,2012,8,3,-4.5122,18.9583,7.3349,7.5588
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Rimbick ,00000200,2012,9,15,-2.8864,11.1687,2.0937,2.7955
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Rimbick ,00000200,2012,10,27,-5.5833,11.8961,1.3454,0.5185
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Rimbick ,00000200,2012,11,28,-5.0435,8.8878,1.8237,1.2903
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Rimbick ,00000200,2012,12,31,-6.3571,7.4500,0.0410,0.1129
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Rimbick ,00000200,2013,1,31,-4.1600,5.9474,0.2584,-0.1837
